#version                  target          url                                                                                                    sha256
0.17.0-dev.305+bdfbf432d  aarch64-macos   https://zigmirror.com/zig-aarch64-macos-0.17.0-dev.305+bdfbf432d.tar.xz?source=nix-dotfiles-bootstrap  842313e4e47f72b601994dcb9114bd88d7be2ad8ecfd37a2d7d882a51045d2cc
0.17.0-dev.305+bdfbf432d  x86_64-linux    https://zigmirror.com/zig-x86_64-linux-0.17.0-dev.305+bdfbf432d.tar.xz?source=nix-dotfiles-bootstrap   df39f7482ea8a60d19d973a7b42167c74457fca844cace4953dedb73af7c033a
0.17.0-dev.305+bdfbf432d  aarch64-linux   https://zigmirror.com/zig-aarch64-linux-0.17.0-dev.305+bdfbf432d.tar.xz?source=nix-dotfiles-bootstrap  2adf4da7ea5f690e155191ca4bceeee6dd7f1dccc9554f03d9bcc05f562d7975
0.17.0-dev.305+bdfbf432d  x86_64-windows  https://zigmirror.com/zig-x86_64-windows-0.17.0-dev.305+bdfbf432d.zip?source=nix-dotfiles-bootstrap    320ca93d269708864f8214b1643cbf3a374adfc821d23a849ea1c8a8ab89205c
